membros,x_latente,y_integracao_kf,semantico,na_faixa,quadrante
W1524264467|W2025177555|W52678905,0.0136,1.2667,0.3321,0,ruido_quimera
W1919343167|W4206762723|W4285719527,0.0494,1.1097,0.0,0,ruido_quimera
W1601629960|W1919343167|W4285719527,0.0701,1.109,0.3925,0,ruido_quimera
W1919343167|W2126563689|W4285719527,0.0517,1.1088,0.4028,0,ruido_quimera
W1492856410|W1999130476|W2154683088,0.0805,1.0866,0.3009,1,costura_ouro
W1999130476|W2123755784|W2154683088,0.1057,1.0863,0.298,1,costura_ouro
W1999130476|W2111030512|W2154683088,0.0494,1.0862,0.2729,1,costura_ouro
W1566478880|W1999130476|W2154683088,0.0736,1.0862,0.4607,0,ruido_quimera
W1492856410|W4285719527|W4388316013,0.0529,0.8802,0.1767,0,ruido_quimera
W2154683088|W4285719527|W4388316013,0.0552,0.88,0.2371,1,costura_ouro
W2123755784|W4285719527|W4388316013,0.0586,0.8799,0.0624,0,ruido_quimera
W2048086870|W4285719527|W4388316013,0.0552,0.8796,0.1405,0,ruido_quimera
W1566478880|W4285719527|W4388316013,0.0782,0.8795,0.19,0,ruido_quimera
W2111030512|W4285719527|W4388316013,0.0586,0.8795,0.0141,0,ruido_quimera
W3124879925|W4285719527|W4388316013,0.0552,0.8792,0.3282,0,ruido_quimera
W4206762723|W4285719527|W4388316013,0.0136,0.8607,0.0,0,ruido_quimera
W1601629960|W4206762723|W4388316013,0.0136,0.8332,0.3323,0,ruido_quimera
W1601629960|W2126563689|W4388316013,0.0204,0.8304,0.3791,0,ruido_quimera
W1492856410|W4285719527|W91655458,0.0517,0.8101,0.1878,0,ruido_quimera
W2123755784|W4285719527|W91655458,0.0575,0.8097,0.0587,0,ruido_quimera
W2154683088|W4285719527|W91655458,0.054,0.8097,0.1994,0,ruido_quimera
W1566478880|W4285719527|W91655458,0.077,0.8094,0.17,0,ruido_quimera
W2111030512|W4285719527|W91655458,0.0575,0.8093,0.0776,0,ruido_quimera
W2048086870|W4285719527|W91655458,0.054,0.8089,0.1465,0,ruido_quimera
W1601629960|W4285719527|W91655458,0.0103,0.8009,0.4696,0,ruido_quimera
W1562620462|W2111030512|W2325487953,0.0483,0.7607,0.2644,1,costura_ouro
W1562620462|W1566478880|W4244612406,0.0517,0.7582,0.3132,1,costura_ouro
W1562620462|W1566478880|W4205188686,0.0529,0.7582,0.2095,0,ruido_quimera
W1492856410|W1562620462|W1566478880,0.0943,0.7579,0.2609,1,costura_ouro
W1562620462|W1566478880|W2025177555,0.0586,0.7579,0.3243,0,ruido_quimera
W1562620462|W2111030512|W4244612406,0.0598,0.7578,0.1975,0,ruido_quimera
W1562620462|W1566478880|W2154683088,0.0736,0.7577,0.4485,0,ruido_quimera
W1562620462|W1566478880|W52678905,0.1103,0.7576,0.2627,1,costura_ouro
W1562620462|W1566478880|W2123755784,0.1494,0.7576,0.3231,0,ruido_quimera
W1562620462|W2025177555|W2111030512,0.0483,0.7576,0.1852,0,ruido_quimera
W1492856410|W1562620462|W2111030512,0.0506,0.7575,0.1615,0,ruido_quimera
W1562620462|W2111030512|W52678905,0.069,0.7573,0.1415,0,ruido_quimera
W1562620462|W2111030512|W2154683088,0.0494,0.7573,0.1904,0,ruido_quimera
W1562620462|W2111030512|W2123755784,0.0747,0.7572,0.1518,0,ruido_quimera
W1562620462|W2048086870|W2111030512,0.0563,0.7569,0.1771,0,ruido_quimera
W2037354927|W4206762723|W4285719527,0.0494,0.6749,0.0,0,ruido_quimera
W2037354927|W2126563689|W4285719527,0.0517,0.6729,-0.0158,0,ruido_quimera
W1601629960|W2037354927|W4285719527,0.069,0.6709,0.0854,0,ruido_quimera
W1492856410|W2037354927|W4285719527,0.0529,0.6631,0.1521,0,ruido_quimera
W2037354927|W2154683088|W4285719527,0.0552,0.6628,0.2304,1,costura_ouro
W2037354927|W2123755784|W4285719527,0.0586,0.6627,0.1365,0,ruido_quimera
W1566478880|W2037354927|W4285719527,0.0782,0.6625,0.2109,0,ruido_quimera
W2037354927|W2111030512|W4285719527,0.0586,0.6625,0.1887,0,ruido_quimera
