obra_a,eixo_a,obra_b,eixo_b,frente,cosseno,centralidade
W1855283887,Cyb,W1566344170,Reg,Cyb × Reg,0.4572,0.1319
W3121147769,PolInd,W1517602275,Reg,PolInd × Reg,0.4563,0.1538
W2102469678,PolInd,W2028436159,Reg,PolInd × Reg,0.4562,0.0385
W617038684,PolInd,W603352075,Cyb,Cyb × PolInd,0.4555,0.033
W2025177555,Cyb,W1980406593,Reg,Cyb × Reg,0.4555,0.2253
W2060827592,PolInd,W1517602275,Reg,PolInd × Reg,0.4554,0.0769
W2007180942,PolInd,W2132454116,Cyb,Cyb × PolInd,0.4548,0.1758
W1979968159,PolInd,W2127454860,Reg,PolInd × Reg,0.4545,0.1429
W1569410165,Reg,W1510137183,PolInd,PolInd × Reg,0.4541,0.0659
W1576605329,PolInd,W1973459906,Reg,PolInd × Reg,0.454,0.1099
W142073415,Reg,W2012275303,PolInd,PolInd × Reg,0.4536,0.1154
W617038684,PolInd,W2004899202,Cyb,Cyb × PolInd,0.4533,0.033
W2059789395,PolInd,W2970049487,Cyb,Cyb × PolInd,0.452,0.1099
W2101946146,Reg,W617038684,PolInd,PolInd × Reg,0.4514,0.033
W1585382938,PolInd,W2028436159,Reg,PolInd × Reg,0.4513,0.0165
W2099670044,PolInd,W2030753430,Reg,PolInd × Reg,0.4513,0.1264
W2179492332,Cyb,W2028436159,Reg,Cyb × Reg,0.4508,0.0549
W2099670044,PolInd,W2004899202,Cyb,Cyb × PolInd,0.4501,0.0549
W2095561982,PolInd,W4244612406,Cyb,Cyb × PolInd,0.4499,0.1758
W2123709218,Cyb,W3123282572,Reg,Cyb × Reg,0.4497,0.1978
W2087699103,Cyb,W2003934805,Reg,Cyb × Reg,0.4479,0.0714
W3130930004,PolInd,W2970049487,Cyb,Cyb × PolInd,0.4476,0.5604
W2154683088,Cyb,W1965278510,Reg,Cyb × Reg,0.4474,0.3022
W2566856888,PolInd,W4230710385,Cyb,Cyb × PolInd,0.4473,0.1484
W2101946146,Reg,W1895366050,PolInd,PolInd × Reg,0.4471,0.0769
W2059789395,PolInd,W4230710385,Cyb,Cyb × PolInd,0.4471,0.1099
W2099670044,PolInd,W90769783,Cyb,Cyb × PolInd,0.4468,0.1648
W4371184,Reg,W2140409505,PolInd,PolInd × Reg,0.4466,0.1648
W1511343964,Cyb,W142073415,Reg,Cyb × Reg,0.4466,0.0549
W3016265253,PolInd,W2004899202,Cyb,Cyb × PolInd,0.4458,0.0879
W1569410165,Reg,W1576605329,PolInd,PolInd × Reg,0.4454,0.0989
W1566344170,Reg,W603352075,Cyb,Cyb × Reg,0.4452,0.1099
W3130930004,PolInd,W2099069868,Cyb,Cyb × PolInd,0.445,0.5385
W1585382938,PolInd,W2108020239,Cyb,Cyb × PolInd,0.4446,0.0549
W2140256961,Cyb,W2007180942,PolInd,Cyb × PolInd,0.4446,0.1978
W1517602275,Reg,W2122679534,PolInd,PolInd × Reg,0.4444,0.044
W1500910854,Cyb,W1973459906,Reg,Cyb × Reg,0.444,0.0879
W2059789395,PolInd,W2025177555,Cyb,Cyb × PolInd,0.4438,0.1758
W1517138715,PolInd,W2142257426,Reg,PolInd × Reg,0.4435,0.1099
